-,-,-,-,-,-,-,-,-,-,-,-



'w'













0.24,0.95,-0.02,1.46,2.08,2.69,0.98,3.70,6,140,79,70
0.24,0.95,-0.02,1.89,2.26,3.42,0.98,4.51,6,141,76,77
0.24,0.95,-0.02,1.59,2.99,6.16,0.98,7.03,6,141,78,82
0.24,0.96,-0.03,1.65,2.69,5.62,0.99,6.44,6,138,77,85
0.23,0.96,-0.02,2.01,2.20,3.66,0.98,4.72,6,137,76,95
0.24,0.93,-0.02,2.44,1.95,2.20,0.96,3.82,6,137,73,100
0.23,0.96,-0.02,1.53,1.53,0.79,0.98,2.30,6,138,79,104
0.22,0.98,-0.03,1.46,1.71,0.92,1.00,2.43,6,137,78,104
0.23,0.95,-0.02,0.98,1.65,1.10,0.98,2.21,6,136,75,108
0.23,0.95,-0.02,1.04,1.65,1.40,0.98,2.40,6,135,76,105
0.21,0.98,-0.04,0.67,1.77,3.54,1.01,4.01,7,136,71,111
0.24,0.92,-0.01,0.00,2.32,6.23,0.95,6.64,7,132,67,115
0.21,0.97,-0.03,-0.18,1.89,5.37,1.00,5.70,6,132,66,113
0.21,0.97,-0.03,1.04,1.16,-0.79,0.99,1.75,7,130,64,117
0.22,0.96,-0.02,0.85,0.31,-3.30,0.99,3.42,6,131,61,113
0.22,0.96,-0.02,0.92,0.43,-4.33,0.98,4.45,6,130,58,106
0.23,0.96,-0.02,0.92,0.31,-5.43,0.99,5.52,6,128,52,99
0.23,0.96,-0.03,1.71,0.06,-6.53,0.98,6.75,5,129,55,90
0.23,0.96,-0.02,1.16,-1.16,-8.24,0.99,8.40,5,131,55,79
0.23,1.02,-0.03,3.23,-0.18,-4.52,1.05,5.56,4,138,52,66
0.25,1.06,-0.06,10.19,-1.71,-9.40,1.09,13.97,3,157,50,43
0.23,1.06,-0.04,23.50,-4.70,-19.59,1.09,30.95,2,249,44,21
0.34,1.23,-0.30,29.24,-8.06,-31.62,1.31,43.81,1,454,32,11
0.34,2.08,-0.15,-5.68,-28.69,-75.81,2.11,81.25,1,568,18,7
0.36,1.48,-0.44,57.07,-55.24,-103.15,1.58,130.18,1,648,11,12
-0.46,0.58,-0.67,50.72,-68.12,-84.78,0.99,120.00,1,693,6,15
-0.51,0.47,-0.34,68.18,-44.86,-36.62,0.77,89.45,1,698,3,19
-0.47,0.52,-0.42,-12.33,17.82,7.57,0.82,22.95,1,716,2,19
-0.26,0.57,-0.29,-23.13,38.82,27.71,0.69,53.01,1,736,3,19
-0.05,0.59,-0.29,-37.29,27.40,50.11,0.66,68.21,1,753,4,19
0.24,0.78,-0.12,-56.95,-2.08,59.27,0.82,82.22,1,764,4,17
0.20,1.03,0.17,-63.42,-48.22,54.69,1.07,96.63,1,780,1,16
0.16,1.08,0.31,-43.03,-73.55,64.33,1.13,106.77,1,796,4,15
0.20,1.11,0.29,-35.95,-62.81,58.53,1.17,93.07,1,804,2,14
0.28,1.06,0.12,-36.44,-37.17,43.88,1.11,68.08,1,814,3,15
0.29,1.04,0.08,-41.87,-6.35,20.39,1.08,47.00,1,822,2,13
0.24,1.12,0.12,-50.90,31.07,-8.61,1.15,60.25,1,825,2,13
